turkish;0.0000;1.1551;21.9472;18.4818;0.6601;39.2739;18.4818;0.0000;127.5204
turkish;0.0000;0.3361;22.2689;17.6471;0.0840;41.8487;17.6471;0.1681;132.5000
turkish;0.0000;0.2247;24.6442;15.8052;0.0749;43.2959;15.7303;0.2247;130.2552
turkish;0.0000;0.0000;24.6154;15.8242;0.0000;43.7363;15.8242;0.0000;131.7164
turkish;0.0000;0.1854;25.0309;14.3387;0.1236;44.1286;14.3387;1.8541;139.7528
turkish;0.0000;0.2232;25.3348;14.7423;0.2131;44.3283;14.4379;0.7204;133.8223
turkish;0.0000;0.1429;26.8571;14.2857;0.1429;43.2857;14.8571;0.4286;129.6296
turkish;0.0000;0.3478;25.2932;14.9755;0.3001;43.0578;14.6618;1.3639;134.0979
turkish;0.0000;0.5017;25.0836;15.0502;0.5017;41.6388;16.2207;1.0033;132.5333
turkish;0.0000;0.0739;25.4156;14.4071;0.0369;44.7359;15.2198;0.1108;133.4923
turkish;0.0000;1.1820;27.8960;12.7660;1.1820;43.7352;12.5296;0.7092;126.9962
turkish;0.0000;0.3632;23.9709;15.9806;0.4843;42.1308;16.7070;0.3632;133.8710
turkish;0.0000;0.0575;25.9919;13.8010;0.0575;45.8309;13.9735;0.2875;133.7989
turkish;0.0000;0.1021;26.0470;14.1982;0.1021;45.2503;13.7896;0.5107;133.7748
turkish;0.0000;0.1633;25.3061;15.5102;0.1633;44.6531;13.8776;0.3265;134.8110
turkish;0.0000;0.2801;25.9304;14.0056;0.2401;44.6178;14.2857;0.6403;136.2069
turkish;0.0000;0.1774;26.3473;14.4378;0.1552;44.0674;14.2604;0.5544;131.6488
turkish;0.0000;0.0657;27.4220;14.4499;0.0657;43.6782;14.2200;0.0985;127.9231
turkish;0.0000;0.1880;27.9135;13.8158;0.1880;44.5489;13.0639;0.2820;129.1291
turkish;0.0000;0.1887;26.7925;14.1509;0.0943;44.1509;14.0566;0.5660;129.7674
turkish;0.0000;0.0000;26.0745;15.1862;0.0000;44.1261;14.6132;0.0000;131.3084
turkish;0.0000;0.4471;25.0373;14.8535;0.3477;43.7655;14.8535;0.6955;132.8250
turkish;0.0000;0.1392;25.1218;16.0056;0.0000;42.4495;16.2143;0.0696;130.3551
turkish;0.0000;0.0513;27.3101;13.9630;0.0513;43.5832;14.5277;0.5133;129.6080
turkish;0.0000;0.7752;28.5530;12.5323;1.0336;43.2817;13.5659;0.2584;124.2718
turkish;0.1890;0.7561;23.2514;16.0681;0.9452;42.1550;15.6900;0.9452;134.2229
turkish;0.0000;0.4288;26.9297;13.8937;0.4288;43.3962;14.5798;0.3431;128.8920
turkish;0.0000;0.7255;21.8863;17.0496;0.7255;42.4426;15.9613;1.2092;138.6588
turkish;0.0000;0.3141;27.9581;12.8796;0.0000;45.4450;12.8796;0.5236;128.4034
turkish;0.0000;0.1437;28.1609;13.5776;0.1437;44.7557;13.1466;0.0718;127.8302
turkish;0.0000;0.0000;24.4966;15.9396;0.0000;43.6242;15.9396;0.0000;131.1111
turkish;0.0000;0.3642;25.3460;15.8776;0.0728;43.5543;13.7655;1.0197;137.4276
turkish;0.0000;0.2706;23.9513;16.9147;0.2706;41.4073;16.9147;0.2706;128.3613
turkish;0.0000;0.3822;27.2611;14.4586;0.3185;43.6943;13.6306;0.2548;128.9825
turkish;0.0000;0.2073;26.8912;13.9896;0.2073;44.4560;13.9896;0.2591;130.0429
turkish;0.0000;0.4370;23.8992;16.1008;0.4370;42.4874;16.0000;0.6387;133.4456
turkish;0.0000;0.0375;24.9250;14.9175;0.0375;44.4153;14.8801;0.7871;133.5762
turkish;0.0000;0.0452;27.4740;13.5563;0.0452;44.8260;13.7822;0.2711;129.5011
turkish;0.0000;0.1405;26.5636;13.9845;0.1054;44.4132;14.4765;0.3162;130.7780
turkish;0.0000;0.2966;24.1226;15.7192;0.2966;43.5492;15.5709;0.4449;133.7892
turkish;0.0000;0.0399;27.4611;14.1491;0.0399;44.4002;13.9099;0.0000;127.6407
turkish;0.0604;0.2417;24.5921;15.3474;0.2417;43.8671;15.6495;0.0000;132.6430
turkish;0.0000;0.1775;25.6877;14.6850;0.1775;43.6557;14.9956;0.6211;131.8787
turkish;0.0000;0.2805;25.5259;15.0070;0.5610;44.2496;14.0954;0.2805;132.9897
turkish;0.0000;0.3597;24.1007;16.1871;0.3597;43.5252;15.1079;0.3597;134.0058
turkish;0.0000;1.1006;29.8742;11.5566;1.0220;44.4969;11.6352;0.3145;124.3902
turkish;0.0000;0.1062;26.0754;14.1264;0.1062;44.8752;14.1795;0.5311;135.2682
turkish;0.0000;0.1543;28.0370;13.4593;0.1543;44.2345;13.8064;0.1543;129.5526
turkish;0.0000;0.0951;27.0090;14.3604;0.1902;43.5568;14.3129;0.4755;128.8700
turkish;0.1293;1.3575;26.2443;14.0918;1.4221;42.2107;13.5100;1.0343;130.3383
turkish;0.0000;0.1224;24.5206;15.2591;0.1224;44.2268;15.5039;0.2448;133.9986
turkish;0.0000;0.2222;27.7778;13.1667;0.2222;45.2222;13.3333;0.0556;130.1748
turkish;0.0000;0.8485;23.8788;14.9091;1.4545;41.5758;15.6364;1.6970;136.6397
turkish;0.0000;0.3444;26.7891;14.1982;0.3827;43.8194;14.0069;0.4592;132.6237
turkish;0.0000;0.7457;26.7606;14.6645;0.7457;43.4134;13.5046;0.1657;130.2419
turkish;0.0000;0.1346;25.7739;14.5357;0.0673;44.2799;13.7281;1.4805;135.9828
turkish;0.0000;0.0000;25.6934;15.2157;0.0000;43.1048;15.7935;0.1926;132.3377
turkish;0.0000;0.1435;25.6098;15.3515;0.1435;42.6829;15.5667;0.5022;129.8957
turkish;0.0000;0.4192;25.3377;15.3703;0.6986;42.8039;14.9511;0.4192;129.0586
turkish;0.0000;0.0975;24.8148;15.1852;0.0975;43.7037;15.3996;0.7018;134.3037
